,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
(Fold  1),0.01574926675905222,0.06042746022673012,0.07323732182355225,0.08256026540465353,0.06321009720943502,0.1348432888110461,0.04325110932875603,0.13756923334328305,0.2156658389096556,0.10556903066563167
(Fold  2),0.011745555693499554,0.17055898141065462,0.18129787775990475,0.05612073348755908,0.06538369038369041,0.044082055707855256,0.0472701461353503,0.07930384568058174,0.18583825834664489,0.11959401515732526
(Fold  3),0.06600543398586162,0.05898029503607197,0.08731059957028914,0.1426610654040542,0.11840838584824684,0.07261680600537274,0.07069184770544307,0.04546918476237677,0.07750563486100678,0.12229014455270559
(Fold  4),0.1301814607189352,0.07601729049278055,0.13478086547428575,0.035340922026181,0.1437878469295005,0.08062922138552395,0.12730231073511383,0.058370236728445685,0.026892933423413645,0.17456753772543243
(Fold  5),0.07228503341215226,0.07838300080463467,0.1535813392458724,0.07914495111783318,0.10178830876828565,0.09453491431237288,0.12752430711451943,0.04818814192288853,0.0532647685510986,0.01256128210821636
(Fold  6),0.19369561837025814,0.21708445617186917,0.14595501738952535,0.06724711292416186,0.1297711933259803,0.1284077875147463,0.12993101600696544,0.02530653682896078,0.10971558195257786,0.01389527054808598
(Fold  7),0.04021493540699772,0.11640856855374718,0.08637341444701266,0.1314224526388466,0.155338327900366,0.09416243302962046,0.12137898110394513,0.06870229007633583,0.08678584555994348,0.10678891381410524
(Fold  8),0.19775055521027451,0.17594602763487371,0.13590091959959838,0.11596394525894257,0.07501321479016645,0.0725409602824448,0.06071171527359398,0.045153920488050336,0.1191531570430138,0.1687275804698845
(Fold  9),0.13461845999213784,0.18829712808383853,0.10793914504421359,0.039886034715858054,0.14024760132697064,0.03609883143141085,0.06427097655169411,0.19090654960898254,0.09072737109959506,0.10055787237751812
(Fold 10),0.05406945386850398,0.0018750830665562046,0.04636524298863648,0.12878439316847196,0.011165677239685923,0.1549253101297711,0.1621711646831147,0.08928503506072671,0.2564814710762995,0.2127947496734585
Average,0.0916315773417673,0.11439782914817567,0.11527417433428908,0.0879131876146562,0.10041143437223277,0.09128416086101644,0.0954503574638496,0.0788254974500632,0.12220308608232491,0.11373463970923636
