,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
(Fold  1),0.631979695431472,0.6363636363636364,0.601526717557252,0.6229007633587786,0.6330014224751067,0.6289222373806276,0.6506189821182944,0.6503856041131105,0.6005188067444877,0.6357786357786358
(Fold  2),0.6641025641025641,0.6076335877862595,0.6175115207373272,0.5589123867069486,0.5941828254847645,0.614441416893733,0.5977808599167822,0.6226666666666667,0.6002621231979031,0.6533333333333333
(Fold  3),0.6063960639606396,0.6329305135951662,0.6246105919003115,0.6316614420062696,0.6043360433604336,0.6285714285714286,0.5883977900552486,0.6028833551769331,0.6534526854219949,0.6358839050131926
(Fold  4),0.6027742749054225,0.6311605723370429,0.5921259842519685,0.5909822866344605,0.6340482573726541,0.647226173541963,0.6213592233009708,0.6338215712383488,0.6516556291390728,0.6183006535947713
(Fold  5),0.6316455696202532,0.5921450151057401,0.6015151515151516,0.5905383360522023,0.6387362637362637,0.5895627644569816,0.6421768707482993,0.5909090909090909,0.6145833333333334,0.6068601583113457
(Fold  6),0.6078184110970997,0.609717868338558,0.6443057722308893,0.6234939759036144,0.6186556927297668,0.6410256410256411,0.6262068965517241,0.6075619295958279,0.6167979002624672,0.6293888166449935
(Fold  7),0.6113207547169811,0.6106750392464678,0.5972644376899696,0.5854037267080745,0.598079561042524,0.6436314363143631,0.5986013986013986,0.5943517329910141,0.6005326231691078,0.6583769633507853
(Fold  8),0.6385696040868455,0.5870253164556962,0.5930408472012103,0.6064318529862175,0.5932885906040268,0.6217331499312242,0.6114130434782609,0.6116248348745046,0.6169088507265522,0.618229854689564
(Fold  9),0.6330845771144279,0.5888888888888889,0.6382636655948553,0.6191198786039454,0.6580459770114943,0.6123287671232877,0.6282225237449118,0.6666666666666666,0.6101036269430051,0.6318537859007833
(Fold 10),0.5933503836317136,0.6100151745068285,0.6415384615384615,0.6216216216216216,0.6165311653116531,0.6229281767955801,0.6098226466575716,0.6203346203346203,0.6389261744966444,0.6194225721784777
Average,0.6221041898667419,0.6106555612624284,0.6151703150217396,0.6051066270582134,0.6188905799128689,0.6250371192034829,0.6174600235173462,0.6201206072566784,0.6203741753434568,0.6307428678795882
