data_name,Intercept,bias1,bias2,new_bias,random_ratio,ml_name.KNN,ml_name.LinearSVC,ml_name.LogReg,ml_name.MLP,ml_name.SVC,ml_name.Tree,method_name.mean_v2,method_name.multi_v1,method_name.multi_v2,method_name.similar_v1,method_name.similar_v2
titanic,0.779175426286366,0.0013922738154757194,,,-0.23515317886600065,-0.07919993749735296,-0.04751953081999819,-0.045365373633275655,-0.05114706049899267,-0.038160274417668984,-0.0244973801076838,-0.02011168306672809,-0.007876527594898158,-0.020284442414816046,0.008930258634789396,-0.02079295985300999
titanic,0.7565215441347294,,0.007972111628605007,,-0.22752895929460346,-0.06609081529798858,-0.034646907655735144,-0.03216943539865682,-0.03826342138652731,-0.02601070018132266,-0.021242591141689096,-0.024084656332197137,-0.00607362897214484,-0.01894329147626874,0.010273760353728324,-0.020802730701058224
titanic,0.7562242749679331,,,0.04685120137777564,-0.23214852085096777,-0.0722980608474663,-0.03857960204652937,-0.0371518902419162,-0.04280706212540331,-0.03121630120975016,-0.023752418447907802,-0.02432543627128117,-0.009027504608624696,-0.021855309110651817,0.007794302624551617,-0.023384869876335986
german,0.7358096798301803,-0.014511277276055012,,,-0.17505822555988415,-0.03190576145459781,-0.020805994823685274,-0.017311578222880816,-0.012114628502410374,-0.024024433652303445,-0.042875501492244214,0.009040471369977387,0.0034215308568410477,0.004462126906806606,0.01326206702775227,0.015984151626707153
german,0.7291425986569634,,0.0020023503356552037,,-0.19355739795512839,-0.025189445775627293,-0.022980323006818983,-0.01906996678259834,-0.00915960535549552,-0.02716893537961243,-0.041577099886564106,0.0034158529003426434,0.011287799102681685,0.012053265687471379,0.01812389192284496,0.016365485591153042
german,0.7324162084207352,,,-0.013924887906485942,-0.19095595141184518,-0.025397197284783228,-0.02275809811089005,-0.018877996024353135,-0.009159567669380735,-0.02693907055317109,-0.04133017329527993,0.005543325170903624,0.011262449935678822,0.012185127760175773,0.018167064468907056,0.017669168314988472
juvenile,0.6576105623996742,-0.004364825422477866,,,-0.12039007036082486,-0.009188630719632149,-0.013912243138347134,-0.0140914743222599,-0.03718359829155383,-0.17577435940837877,-0.00598203063166085,0.011804836139662543,0.02025078822542787,0.01997556695515024,0.03258977705667938,0.036495140551052685
juvenile,0.6558899578412039,,-0.0018918914242215174,,-0.12828173702329113,-0.006373715931969495,-0.012475355642491448,-0.012695708199892844,-0.04039119192357081,-0.18786333912054545,-0.005389184719048416,0.011587442244807155,0.025479399235071705,0.024709948058078808,0.036370605444030014,0.03820172144355785
juvenile,0.6565597047394346,,,-0.009433664491820532,-0.12838472295562886,-0.00641610225843833,-0.012371993769240943,-0.012587735190464489,-0.0405893040389831,-0.18856030584109634,-0.005487766411739525,0.011434456044942013,0.025737693524917976,0.025051249209290492,0.03646508076667558,0.03838375978089886
