,Original,Mean Imputation (20%),Similar Imputation (20%),Multiple Imputation (20%),Mean Imputation (10%),Similar Imputation (10%),Multiple Imputation (10%),Mean Imputation (5%),Similar Imputation (5%),Multiple Imputation (5%)
(Fold  1),0.9708563237910918,1.053419958280288,0.49817083986103916,0.692131755741564,0.7687531158092845,0.6270691773622891,0.5717834319470516,0.5942098988225376,0.5469835491956818,0.7177984868816426
(Fold  2),0.5085045332717785,0.5991918745603276,0.6881836475384153,0.6035366836295544,0.6309655610173748,0.8065309047451903,1.0737401166409257,0.9203919927678923,0.6039967925402597,0.9737072877371384
(Fold  3),0.6929210649968331,0.6702425373134329,0.4565646086265598,0.4512713415378109,0.441353915110997,0.5237470862470862,0.8107416840412408,0.5219926671982292,0.7597122585731177,0.4059708921899734
(Fold  4),0.6446900021751355,0.7818170329347941,0.9600732831970481,0.5080408071166959,0.5627382907053881,0.6393280692100204,0.6798453454942005,0.879038913957345,0.7261103880824518,0.6258571387826114
(Fold  5),0.6228932204926059,0.5770327500970186,1.0615632258413006,0.3625067140258167,0.6156429568390362,0.6029908766795699,0.5289319040869359,0.8800202021901431,1.0284832342617256,0.9138667811221625
(Fold  6),0.5980168899423558,0.7211071428571428,0.5451629101232562,0.38799263440193776,1.0453894282632148,0.8765600874935667,0.7173024379991593,0.17607673185721884,0.7836721078010629,0.6221921868020698
(Fold  7),0.7350979684609579,0.5304192929569745,0.35928316785048797,0.38395842773855704,0.8511391182109894,0.7135627276900969,0.32589810531782715,0.6841744794837453,0.8359355250131701,0.8173200410017826
(Fold  8),1.0576300029757477,0.6424159231297186,0.667203933300647,0.47253697832227715,0.6284308118443258,0.4524318493779548,0.27337708189483634,0.6924059050405639,1.0449995184065035,0.7631220322165861
(Fold  9),0.7930046321739813,0.533528883784082,0.7258049623051323,0.679181764508314,0.44447164890126045,0.560876398061272,0.6649832115550163,0.7184296520249652,0.5612800968016797,0.44711532304539936
(Fold 10),0.7726306043689097,0.5337405955919188,0.3899755868369381,0.5683395760535533,0.6739595029090537,0.8741177532476176,0.48938432694072753,1.1261176733405938,0.6824731607851545,0.43594195899692456
Average,0.7396245242649397,0.6642915991505698,0.6351986165480825,0.5109496683076082,0.6662844349610926,0.6677214930114663,0.6135987645917921,0.7192858116683234,0.7573646631460808,0.6722892128776291
